month,Tamanrasset,Sonnblick,Desert Rock,Alice Springs,Gobabeb,Solar Village,Boulder,Toravere,Tateno,Rock Springs,Lerwick,Goodwin Creek
1,0.264,0.421,0.202,0.169,0.308,0.360,0.257,0.468,0.127,0.233,0.115,0.152
2,0.267,0.428,0.197,0.174,0.307,0.362,0.253,0.499,0.125,0.233,0.108,0.153
3,0.270,0.337,0.200,0.176,0.308,0.359,0.223,0.375,0.122,0.168,0.096,0.148
4,0.268,0.205,0.202,0.179,0.314,0.355,0.186,0.156,0.122,0.139,0.089,0.160
5,0.268,0.160,0.204,0.184,0.325,0.353,0.166,0.158,0.124,0.165,0.086,0.167
6,0.268,0.155,0.206,0.185,0.331,0.358,0.159,0.171,0.127,0.177,0.086,0.168
7,0.266,0.153,0.204,0.184,0.330,0.357,0.156,0.170,0.133,0.177,0.086,0.168
8,0.262,0.147,0.204,0.182,0.320,0.358,0.152,0.160,0.135,0.168,0.089,0.162
9,0.264,0.141,0.203,0.177,0.311,0.366,0.157,0.150,0.133,0.155,0.094,0.153
10,0.264,0.147,0.200,0.176,0.312,0.369,0.168,0.144,0.126,0.144,0.105,0.149
11,0.263,0.192,0.200,0.169,0.312,0.364,0.193,0.219,0.123,0.143,0.112,0.147
12,0.262,0.314,0.203,0.165,0.308,0.361,0.240,0.385,0.125,0.185,0.119,0.146
